location_id,city,region,country
1,Edinburgh,Scotland,United Kingdom
2,Port Talbot,Wales,United Kingdom
3,Birkenhead,England,United Kingdom
4,Bicester,England,United Kingdom
5,Dartmouth,England,United Kingdom
6,Bridgend,England,United Kingdom
7,Cookstown,England,United Kingdom
8,Nottingham,England,United Kingdom
9,Glasgow,Scotland,United Kingdom
10,Newcastle Upon Tyne,England,United Kingdom
11,Haywards Heath,England,United Kingdom
12,Renfrew,England,United Kingdom
13,Waterlooville,England,United Kingdom
14,Dundee,Scotland,United Kingdom
15,Stround,England,United Kingdom
16,Immingham,England,United Kingdom
17,,England,United Kingdom
18,Liverpool,England,United Kingdom
19,Watford,England,United Kingdom
20,Cumbria,England,United Kingdom
21,West Midlands,England,United Kingdom
22,London,England,United Kingdom
23,Haydock,England,United Kingdom
24,Manchester,England,United Kingdom
25,Redhill,England,United Kingdom
26,Hammersmith,England,United Kingdom
27,Bedford,England,United Kingdom
